Employé	position
polyvalent	position
H/F	O
-	O
Monop	company
Boulainvilliers	company
-	O
CDI	contrat_type
24H	O
-	O
7h30	O
-	O
11h40	O
Monoprix	company
-	O
Paris	O
-LRB-	O
75	code_postal
-RRB-	O
1	salary
65	salary
$	salary
par	salary
mois	salary
-	O
CDI	contrat_type
Description	O
du	O
poste	O
:	O
*	O
Adoptez	hard_skills
la	hard_skills
Mon	hard_skills
`	O
Up	hard_skills
Attitude	hard_skills
!	O
Vous	O
souhaitez	O
évoluer	O
vers	O
une	O
enseigne	O
innovante	O
,	O
pionnière	O
dans	O
le	O
domaine	O
du	O
développement	O
durable	O
,	O
toujours	O
en	O
avance	O
d'une	O
nouvelle	O
tendance	O
ou	O
d'un	O
nouveau	O
concept	O
???	O
Présent	O
depuis	O
80	O
ans	O
,	O
le	O
groupe	O
Monoprix	company
a	O
toujours	O
été	O
tourné	O
vers	O
l'avenir	O
.	O
Implantés	O
au	O
cœur	O
des	O
villes	O
,	O
les	O
400	O
magasins	O
expriment	O
pleinement	O
le	O
savoir-faire	O
commerçant	O
du	O
Groupe	O
.	O
De	O
nouveaux	O
concepts	O
:	O
Monop	O
";"	O
Daily	O
Monop	O
ou	O
encore	O
Beauty	O
Monop	O
répondent	O
aux	O
attentes	O
de	O
ses	O
clients	O
.	O
Aujourd	O
`	O
hui	O
,	O
Monoprix	company
c'est	O
plus	O
de	O
20	O
0	O
collaborateurs	O
et	O
plus	O
de	O
4	O
milliard	O
de	O
chiffre	O
d'affaires	O
en	O
2012	O
.	O
Un	O
groupe	O
qui	O
ne	O
cesse	O
d'évoluer	O
en	O
France	O
et	O
à	O
l'international	O
avec	O
l'ouverture	O
de	O
franchises	O
.	O
Intégrer	O
le	O
groupe	O
Monoprix	company
,	O
c'est	O
mettre	O
en	O
valeur	O
votre	O
potentiel	O
grâce	O
à	O
une	O
politique	O
de	O
ressources	O
humaines	O
innovante	O
-LRB-	O
formation	O
,	O
développement	O
des	O
compétences	O
,	O
partage	O
des	O
savoirs	O
,	O
politique	O
salariale	O
motivante	O
et	O
perspectives	O
d'évolution	O
...	O
-RRB-	O
.	O
*	O
Monop	O
'	O
et	O
vous	O
:	O
Il	O
y	O
a	O
un	O
avenir	O
pour	O
vous	O
chez	O
Monoprix.Monop	O
'	O
et	O
Vous	O
:	O
Cette	O
nouvelle	O
enseigne	O
de	O
petits	O
magasins	O
pratiques	O
,	O
accueillants	O
et	O
adaptés	O
au	O
rythme	O
de	O
vie	O
d'une	O
clientèle	O
citadine	O
et	O
active	O
,	O
propose	O
des	O
produits	O
originaux	O
et	O
variés	O
.	O
L'offre	O
Monop	O
allie	O
libre-service	O
,	O
ultra	O
fraîcheur	O
et	O
produits	O
du	O
quotidien	O
.	O
Véritable	hard_skills
relais	hard_skills
terrain	hard_skills
de	hard_skills
l'équipe	hard_skills
de	hard_skills
Direction	hard_skills
,	O
vous	hard_skills
animez	hard_skills
une	hard_skills
équipe	hard_skills
d'une	hard_skills
dizaine	hard_skills
de	hard_skills
personnes	hard_skills
au	hard_skills
quotidien	hard_skills
et	hard_skills
veillez	hard_skills
à	hard_skills
optimiser	hard_skills
:	O
-	O
l'accueil	hard_skills
et	hard_skills
la	hard_skills
fidélisation	hard_skills
de	hard_skills
la	hard_skills
clientèle	hard_skills
-	O
la	hard_skills
gestion	hard_skills
des	hard_skills
commandes	hard_skills
et	hard_skills
des	hard_skills
stocks	hard_skills
,	O
-	O
la	hard_skills
permanence	hard_skills
de	hard_skills
l'offre	hard_skills
produit	hard_skills
.	O
*	O
*	O
Profil	O
:	O
Vous	experience
avez	experience
une	experience
première	experience
expérience	experience
réussie	experience
dans	experience
la	experience
distribution	experience
ou	experience
la	experience
restauration	experience
rapide	experience
.	O
Commerçant	experience
dans	experience
l'âme	experience
,	O
vous	O
avez	O
envie	O
de	O
vous	O
investir	O
dans	O
une	O
enseigne	O
novatrice	O
.	O
Nous	soft_skills
comptons	soft_skills
sur	soft_skills
vos	soft_skills
aptitudes	soft_skills
managériales	soft_skills
,	O
votre	soft_skills
sens	soft_skills
du	soft_skills
service	soft_skills
et	soft_skills
vos	soft_skills
capacités	soft_skills
de	soft_skills
gestionnaire	soft_skills
pour	soft_skills
satisfaire	soft_skills
une	soft_skills
clientèle	soft_skills
exigeante	soft_skills
et	soft_skills
développer	soft_skills
votre	soft_skills
chiffre	soft_skills
d'affaires	soft_skills
.	O
*	O
Horaires	O
:	O
Du	O
lundi	O
au	O
samedi	O
:	O
7h30	O
-	O
10h30	O
Type	O
d'emploi	O
:	O
CDI	contrat_type
Salaire	O
:	O
1	salary
65	salary
$	salary
/	O
mois	salary
