Graphiste	position
H/F	O
ADD-ONE	company
-	O
Périgny	city
-LRB-	O
17	postal_code
-RRB-	O
1	salary
500	salary
$	salary
-	salary
1	salary
700	salary
$	salary
par	salary
mois	salary
-	O
CDD	contract_type
Société	O
de	O
négoce	O
,	O
spécialisée	O
dans	O
la	O
création	O
,	O
le	O
conditionnement	O
et	O
la	O
commercialisationd	O
'	O
équipements	O
et	O
accessoires	O
cycles	O
,	O
petits	O
motorisé	O
et	O
articles	O
de	O
fitness	O
auprès	O
d'une	O
clientèlecomposée	O
de	O
d'enseignes	O
nationales	O
GSA	O
et	O
GSS	O
recherche	O
un	O
-LRB-	O
e	O
-RRB-	O
infographiste	position
PAO.I	position
ntégré	O
-LRB-	O
e	O
-RRB-	O
au	O
sein	O
de	O
l'équipe	O
développement	O
,	O
vous	O
participez	hard_skills
activement	hard_skills
à	hard_skills
la	hard_skills
création	hard_skills
des	hard_skills
gammes.Vous	hard_skills
intervenez	hard_skills
plus	hard_skills
particulièrement	hard_skills
dans	hard_skills
les	hard_skills
domaines	hard_skills
suivants	hard_skills
:	hard_skills
conception	hard_skills
graphique	hard_skills
et	hard_skills
déclinaison	hard_skills
des	hard_skills
packagings	hard_skills
pour	hard_skills
les	hard_skills
gammes	hard_skills
de	hard_skills
produits	hard_skills
-	hard_skills
marques	hard_skills
propreset	hard_skills
marques	hard_skills
de	hard_skills
distributeurs	hard_skills
à	hard_skills
forte	hard_skills
notoriété	hard_skills
.	hard_skills
création	hard_skills
de	hard_skills
logos	hard_skills
et	hard_skills
de	hard_skills
chartes	hard_skills
graphiques	hard_skills
réalisation	hard_skills
et	hard_skills
retouches	hard_skills
d'images	hard_skills
et	hard_skills
photographies	hard_skills
.	hard_skills
création	hard_skills
des	hard_skills
supports	hard_skills
de	hard_skills
vente	hard_skills
-LRB-	hard_skills
catalogues	hard_skills
,	hard_skills
notices	hard_skills
,	hard_skills
PLV	hard_skills
,	hard_skills
etc.	hard_skills
.	hard_skills
.	hard_skills
-RRB-	hard_skills
.	hard_skills
conception	hard_skills
des	hard_skills
newsletters	hard_skills
pour	hard_skills
les	hard_skills
sites	hard_skills
de	hard_skills
vente	hard_skills
en	hard_skills
ligneDoté	hard_skills
-LRB-	O
e	O
-RRB-	O
d'une	O
forte	soft_skills
capacité	soft_skills
d'initiative	soft_skills
et	soft_skills
d'un	soft_skills
bon	soft_skills
esprit	soft_skills
d'équipe	soft_skills
,	O
vous	O
avez	O
impérativement	O
unepremière	experience
expérience	experience
dans	experience
la	experience
réalisation	experience
de	experience
packagings	experience
et/ou	experience
de	experience
supports	experience
de	experience
communication	experience
-LRB-	experience
PLV	experience
,	experience
catalogues	experience
,	O
...	O
-RRB-	O
.	O
Il	O
vous	O
sera	O
demandé	O
de	O
:	O
-	O
savoir	hard_skills
assimiler	hard_skills
et	hard_skills
enrichir	hard_skills
notre	hard_skills
univers	hard_skills
graphique	hard_skills
,	hard_skills
y	hard_skills
apporter	hard_skills
sa	hard_skills
touche	hard_skills
``	hard_skills
manuelle	hard_skills
''	hard_skills
-	hard_skills
d'être	hard_skills
en	hard_skills
veille	hard_skills
permanente	hard_skills
,	O
curieux/se	soft_skills
et	soft_skills
proposer	soft_skills
des	soft_skills
choses	soft_skills
innovantes	soft_skills
.	O
Profil	O
Issu	experience
-LRB-	experience
e	experience
-RRB-	experience
de	experience
la	experience
filière	experience
artistique	experience
,	O
vous	O
faites	O
preuve	soft_skills
d'une	soft_skills
culture	soft_skills
et	soft_skills
d'un	soft_skills
savoir-faire	soft_skills
artistique	soft_skills
.	O
Vous	O
justifiez	O
d'une	O
première	experience
expérience	experience
d'	experience
à	experience
minima	experience
02-mars	experience
ans	experience
.	O
Vous	O
êtes	O
à	hard_skills
l'aise	hard_skills
en	hard_skills
informatique	hard_skills
,	hard_skills
notamment	hard_skills
sur	hard_skills
la	hard_skills
suite	hard_skills
Microsoft	hard_skills
Office	hard_skills
,	hard_skills
CAD	hard_skills
,	hard_skills
PhotoShop	hard_skills
,	hard_skills
InDesign	hard_skills
et	hard_skills
Illustrator	hard_skills
,	hard_skills
et	hard_skills
possédez	hard_skills
également	hard_skills
un	hard_skills
talent	hard_skills
certain	hard_skills
en	hard_skills
dessin	hard_skills
à	hard_skills
la	hard_skills
main	hard_skills
.	O
Vous	O
faites	O
preuve	O
d'un	O
excellent	soft_skills
esprit	soft_skills
d'équipe	soft_skills
,	O
vous	O
êtes	O
engagé	soft_skills
-LRB-	O
e	soft_skills
-RRB-	O
,	O
enthousiaste	soft_skills
,	O
autonome	soft_skills
et	O
capable	soft_skills
de	soft_skills
gérer	soft_skills
sereinement	soft_skills
les	soft_skills
priorités	soft_skills
et	soft_skills
les	soft_skills
urgences	soft_skills
.	O
Des	O
connaissances	hard_skills
en	hard_skills
anglais	hard_skills
sont	O
un	O
plus	O
.	O
DUREE	O
HEBDOMADAIRE	O
DE	O
TRAVAIL	O
:	O
35	O
h	O
Type	O
d'emploi	O
:	O
CDD	contract_type
Salaire	O
:	O
1	salary
500	salary
$	salary
à	salary
1	salary
700	salary
$	salary
/	salary
mois	salary
Expérience	O
exigée	O
:	O
Graphisme	experience
:	experience
1	experience
an	experience
