Responsable	position
de	position
Maintenance	position
Immobilière	position
h/f	O
Groupe	company
Iserba	company
-	O
Viry-Châtillon	city
-LRB-	O
91	code postal
-RRB-	O
CDI	contrat_type
Dans	O
le	O
cadre	O
de	O
notre	O
croissance	O
,	O
nous	O
recrutons	O
un	position
Responsable	position
Maintenance	position
Immobilière	position
H/F	O
pour	O
notre	O
agence	O
de	O
Viry	city
Chatillon	city
-LRB-	
91	code postal
-RRB-	O
.	O
En	O
véritable	O
patron	O
de	O
votre	O
unité	O
opérationnelle	O
,	O
orienté	O
terrain	O
,	O
vous	hard skills
traitez	hard skills
et	hard skills
anticipez	hard skills
les	hard skills
dysfonctionnements	hard skills
avec	hard skills
réactivité	hard skills
.	
A	hard skills
ce	hard skills
titre	hard skills
vos	hard skills
missions	hard skills
sont	hard skills
:	O
-	
D'encadrer	hard skills
et	hard skills
coordonner	hard skills
une	hard skills
équipe	hard skills
d'une	hard skills
vingtaine	hard skills
de	hard skills
techniciens	hard skills
itinérants	hard skills
en	hard skills
faisant	hard skills
appliquer	hard skills
les	hard skills
procédures	hard skills
de	hard skills
la	hard skills
société	hard skills
.	O
-	O
De	hard skills
garantir	hard skills
la	hard skills
bonne	hard skills
exécution	hard skills
des	hard skills
interventions	hard skills
et	hard skills
le	hard skills
respect	hard skills
des	hard skills
contrats	hard skills
dans	hard skills
une	hard skills
logique	hard skills
de	hard skills
sécurité	hard skills
des	hard skills
biens	hard skills
et	hard skills
des	hard skills
personnes	hard skills
.	
-	
D'optimiser	hard skills
la	hard skills
rentabilité	hard skills
de	hard skills
l'agence	hard skills
par	hard skills
une	hard skills
juste	hard skills
gestion	hard skills
des	hard skills
moyens	hard skills
humains	hard skills
et	hard skills
des	hard skills
pièces	hard skills
détachées	hard skills
dans	hard skills
le	hard skills
respect	hard skills
du	hard skills
budget	hard skills
alloué	hard skills
.	O
-	O
D'être	hard skills
l'interlocuteur	hard skills
privilégié	hard skills
du	hard skills
client	hard skills
que	hard skills
vous	hard skills
fidélisez	hard skills
,	
votre	hard skills
but	hard skills
étant	hard skills
d'assurer	hard skills
un	hard skills
niveau	hard skills
de	hard skills
satisfaction	hard skills
maximal	hard skills
.	O
Leader	soft skills
avéré	soft skills
,	O
au-delà	
de	O
votre	O
formation	O
-LRB-	O
Bac	experience
2	experience
en	experience
électrotechnique	experience
,	O
mécanique	experience
,	
fluides	experience
et	experience
énergies	experience
,	O
MAI	O
...	O
-RRB-	O
c’est	O
votre	O
solide	experience
expérience	experience
de	experience
minimum	experience
5	experience
ans	experience
dans	experience
un	experience
secteur	experience
de	experience
service	experience
similaire	experience
,	O
vos	soft skills
compétences	soft skills
managériales	soft skills
et	soft skills
votre	soft skills
capacité	soft skills
à	soft skills
animer	soft skills
votre	soft skills
équipe	soft skills
autour	soft skills
d'objectifs	soft skills
ambitieux	soft skills
qui	
feront	
la	
différence	O
.	O
Votre	soft skills
passion	soft skills
pour	soft skills
les	soft skills
métiers	soft skills
techniques	soft skills
,	O
vous	soft skills
amène	soft skills
à	soft skills
être	soft skills
engagé	soft skills
,	O
proche	O
du	O
terrain	O
et	O
de	O
la	O
production	O
,	O
et	O
vous	soft skills
permettent	soft skills
de	soft skills
fédérer	soft skills
vos	soft skills
équipes	soft skills
autour	soft skills
de	soft skills
nos	soft skills
valeurs	soft skills
.	O
Dans	O
le	O
cadre	O
de	O
sa	O
politique	O
diversité	O
,	O
ISERBA	O
étudie	O
,	O
à	O
compétences	O
égales	O
,	O
toutes	O
candidatures	O
dont	O
celles	O
de	O
personnes	O
en	O
situation	O
de	O
handicap	O
.	O
Type	O
d'emploi	O
:	O
CDI	contrat_type
Localisation	O
du	O
poste	O
:	O
Viry-Châtillon	city
-LRB-	O
91	code postal
-RRB-	O
	O
