Employé	position
polyvalent	position
H/F	O
-	O
Monop	O
Boulainvilliers	O
-	O
CDI	O
24H	O
-	O
7h30	O
-	O
11h40	O
Monoprix	company
-	O
Paris	city
-LRB-	O
75	O
-RRB-	O
1	salary
65	salary
$	salary
par	O
mois	O
-	O
CDI	contract_type
Description	O
du	O
poste	O
:	O
*	O
Adoptez	O
la	O
Mon	O
`	O
Up	O
Attitude	O
!	O
Vous	O
souhaitez	O
évoluer	O
vers	O
une	O
enseigne	O
innovante	O
,	O
pionnière	O
dans	O
le	O
domaine	O
du	O
développement	O
durable	O
,	O
toujours	O
en	O
avance	O
d'une	O
nouvelle	O
tendance	O
ou	O
d'un	O
nouveau	O
concept	O
???	O
Présent	O
depuis	O
80	O
ans	O
,	O
le	O
groupe	O
Monoprix	O
a	O
toujours	O
été	O
tourné	O
vers	O
l'avenir	O
.	O
Implantés	O
au	O
cœur	O
des	O
villes	O
,	O
les	O
400	O
magasins	O
expriment	O
pleinement	O
le	O
savoir-faire	O
commerçant	O
du	O
Groupe	O
.	O
De	O
nouveaux	O
concepts	O
:	O
Monop	O
";"	O
Daily	O
Monop	O
ou	O
encore	O
Beauty	O
Monop	O
répondent	O
aux	O
attentes	O
de	O
ses	O
clients	O
.	O
Aujourd	O
`	O
hui	O
,	O
Monoprix	O
c'est	O
plus	O
de	O
20	O
0	O
collaborateurs	O
et	O
plus	O
de	O
4	O
milliard	O
de	O
chiffre	O
d'affaires	O
en	O
2012	O
.	O
Un	O
groupe	O
qui	O
ne	O
cesse	O
d'évoluer	O
en	O
France	O
et	O
à	O
l'international	O
avec	O
l'ouverture	O
de	O
franchises	O
.	O
Intégrer	O
le	O
groupe	O
Monoprix	O
,	O
c'est	O
mettre	O
en	O
valeur	O
votre	O
potentiel	O
grâce	O
à	O
une	O
politique	O
de	O
ressources	O
humaines	O
innovante	O
-LRB-	O
formation	O
,	O
développement	O
des	O
compétences	O
,	O
partage	O
des	O
savoirs	O
,	O
politique	O
salariale	O
motivante	O
et	O
perspectives	O
d'évolution	O
...	O
-RRB-	O
.	O
*	O
Monop	O
'	O
et	O
vous	O
:	O
Il	O
y	O
a	O
un	O
avenir	O
pour	O
vous	O
chez	O
Monoprix.Monop	O
'	O
et	O
Vous	O
:	O
Cette	O
nouvelle	O
enseigne	O
de	O
petits	O
magasins	O
pratiques	O
,	O
accueillants	O
et	O
adaptés	O
au	O
rythme	O
de	O
vie	O
d'une	O
clientèle	O
citadine	O
et	O
active	O
,	O
propose	O
des	O
produits	O
originaux	O
et	O
variés	O
.	O
L'offre	O
Monop	O
allie	O
libre-service	O
,	O
ultra	O
fraîcheur	O
et	O
produits	O
du	O
quotidien	O
.	O
Véritable	O
relais	O
terrain	O
de	O
l'équipe	O
de	O
Direction	O
,	O
vous	O
animez	O
une	O
équipe	O
d'une	O
dizaine	O
de	O
personnes	O
au	O
quotidien	O
et	O
veillez	O
à	O
optimiser	O
:	O
-	O
l'accueil	O
et	O
la	O
fidélisation	O
de	O
la	O
clientèle	O
-	O
la	O
gestion	O
des	O
commandes	O
et	O
des	O
stocks	O
,	O
-	O
la	O
permanence	O
de	O
l'offre	O
produit	O
.	O
*	O
*	O
Profil	O
:	O
Vous	O
avez	O
une	O
première	O
expérience	O
réussie	O
dans	O
la	O
distribution	O
ou	O
la	O
restauration	O
rapide	O
.	O
Commerçant	O
dans	O
l'âme	O
,	O
vous	O
avez	O
envie	O
de	O
vous	O
investir	O
dans	O
une	O
enseigne	O
novatrice	O
.	O
Nous	O
comptons	O
sur	O
vos	O
aptitudes	hard_skills
managériales	hard_skills
,	O
votre	O
sens	soft_skills
du	soft_skills
service	soft_skills
et	O
vos	O
capacités	O
de	O
gestionnaire	hard_skills
pour	O
satisfaire	O
une	O
clientèle	O
exigeante	O
et	O
développer	O
votre	O
chiffre	O
d'affaires	O
.	O
*	O
Horaires	O
:	O
Du	O
lundi	O
au	O
samedi	O
:	O
7h30	O
-	O
10h30	O
Type	O
d'emploi	O
:	O
CDI	O
Salaire	O
:	O
1	O
65	O
$	O
/	O
mois	O
