Educateur	position
spécialisé	position
ITEP	company
LE	company
COTEAU	company
-	O
Vitry-sur-Seine	city
-LRB-	O
94	postal code
-RRB-	O
1	salary
720	salary
$	salary
par	salary
mois	salary
-	O
CDD	contrat_type
CDD	contrat_type
3	contrat_type
MOIS	contrat_type
32H	O
PAR	O
SEMAINE	O
Pour	O
le	O
service	O
de	O
la	O
prise	O
en	O
charge	O
de	O
jour	O
située	O
à	O
Vitry	city
sur	O
Seine	city
et	O
accueillant	hard skills
des	hard skills
enfants	hard skills
de	hard skills
6	hard skills
à	hard skills
12	hard skills
ans	hard skills
présentant	hard skills
des	hard skills
difficultés	hard skills
psychologiques	hard skills
dont	hard skills
l'intensité	hard skills
des	hard skills
troubles	hard skills
perturbe	hard skills
la	hard skills
socialisation	hard skills
et	hard skills
l'accès	hard skills
aux	hard skills
apprentissages	hard skills
,	O
l'ITEP	company
Le	O
Coteau	O
recherche	O
un	position
éducateur	position
spécialisé	position
-LRB-	O
H/F	O
-RRB-	O
.	O
Intégré	soft skills
-LRB-	O
e	soft skills
-RRB-	O
à	soft skills
une	soft skills
équipe	soft skills
pluridisciplinaire	soft skills
,	O
vous	hard skills
aurez	hard skills
pour	hard skills
mission	hard skills
de	hard skills
:	hard skills
Animer	hard skills
un	hard skills
atelier	hard skills
et	hard skills
mettre	hard skills
en	hard skills
œuvre	hard skills
les	hard skills
activités	hard skills
-LRB-	
artistiques	hard skills
,	O
musicales	hard skills
...	O
.	O
-RRB-	O
Assurer	hard skills
le	hard skills
suivi	hard skills
scolaire	hard skills
et	hard skills
participer	hard skills
aux	hard skills
entretiens	hard skills
de	hard skills
suivi	hard skills
de	hard skills
scolarité	hard skills
-LRB-	
ESS	hard skills
-RRB-	O
,	O
Assurer	hard skills
le	hard skills
suivi	hard skills
du	hard skills
projet	hard skills
des	hard skills
jeunes	hard skills
dont	hard skills
vous	hard skills
aurez	hard skills
la	hard skills
référence	hard skills
,	O
Apporter	hard skills
vos	hard skills
compétences	hard skills
techniques/artistiques	hard skills
et	hard skills
savoir	hard skills
-	
faire	hard skills
éducatif	hard skills
,	
Etablir	hard skills
une	hard skills
relation	hard skills
de	hard skills
confiance	hard skills
avec	hard skills
les	hard skills
enfants	hard skills
accueillis	hard skills
,	
Participer	hard skills
aux	hard skills
réunions	hard skills
pluridisciplinaires	hard skills
et	hard skills
de	hard skills
synthèse	hard skills
.	
Rémunération	O
:	O
Salaire	O
brut	O
mensuel	O
:	O
1720	salary
euros	salary
-LRB-	O
rémunération	O
sur	O
14	O
mois	O
-RRB-	O
Niveau	O
:	O
5E	experience
convention	experience
collective	experience
UCANSS	experience
RTT	experience
+	
mutuelle	
Diplôme	O
:	O
Diplôme	experience
d'éducateur	experience
spécialisé	experience
Expérience	experience
:	O
Expérience	experience
similaire	experience
souhaitée	experience
Compétences	hard skills
techniques	hard skills
requises	hard skills
:	O
Permis	hard skills
B	hard skills
souhaité	hard skills
Savoir	soft skills
être	soft skills
:	O
Capacité	soft skills
à	soft skills
travailler	soft skills
en	soft skills
équipe	soft skills
pluridisciplinaire	soft skills
Capacité	soft skills
d'organisation	soft skills
et	soft skills
d'adaptation	soft skills
Etre	soft skills
force	soft skills
de	soft skills
proposition	soft skills
et	soft skills
créatif	soft skills
Type	O
d'emploi	O
:	O
CDD	contrat_type
Salaire	O
:	O
1	salary
720	salary
$	salary
/	O
mois	salary
Localisation	O
du	O
poste	O
:	O
Vitry-sur-Seine	city
-LRB-	O
94	postal code
-RRB-	O
