Vendeur	position
-LRB-	O
se	position
-RRB-	O
caissier	position
-LRB-	O
ère	position
-RRB-	O
H/F	O
CORPO	company
-	O
Meaux	city
-LRB-	O
77	code postal
-RRB-	O
CDI	contrat_type
Pour	O
le	O
traitement	O
de	O
votre	O
candidature	O
,	O
merci	O
de	O
nous	O
transmettre	O
votre	O
CV	O
uniquement	O
sur	O
le	O
lien	O
suivant	O
:	O
http://jobaffinity.fr/apply/85073/422692	O
La	O
CORPO	company
est	O
une	O
filiale	O
du	O
Groupe	O
E.CF	O
,	O
leader	O
français	O
dans	O
la	O
distribution	O
de	O
petits	O
matériels	O
-LRB-	O
art	O
de	O
la	O
table	O
,	O
de	O
la	O
cuisine	O
et	O
produits	O
d'entretien	O
et	O
d'hygiène	O
-RRB-	O
,	O
pour	O
les	O
professionnels	O
de	O
la	O
restauration	O
.	O
La	O
société	O
LA	company
CORPO	company
est	O
spécialisée	O
quant	O
à	O
elle	O
,	O
dans	O
la	O
vente	O
de	O
matériel	O
et	O
de	O
fournitures	O
-LRB-	O
emballage	O
,	O
hygiène	O
,	O
etc.	O
-RRB-	O
à	O
destination	O
des	O
métiers	O
de	O
bouche	O
.	O
MISSIONS	O
:	O
Au	O
sein	O
du	O
magasin	O
de	O
MEAUX	city
,	O
vous	hard skills
êtes	hard skills
en	hard skills
charge	hard skills
de	hard skills
:	O
-	hard skills
L'accueil	hard skills
des	hard skills
clients	hard skills
-	O
L'enregistrement	hard skills
des	hard skills
règlements	hard skills
clients	hard skills
-LRB-	O
espèces	hard skills
,	O
chèques	hard skills
,	O
carte	hard skills
bleue	hard skills
-RRB-	O
-	
La	hard skills
clôture	hard skills
quotidienne	hard skills
de	hard skills
la	hard skills
caisse	hard skills
-	
La	hard skills
mise	hard skills
en	hard skills
avant	hard skills
des	hard skills
promotions	hard skills
auprès	hard skills
des	hard skills
clients	hard skills
-	O
La	hard skills
participation	hard skills
à	hard skills
la	hard skills
bonne	hard skills
tenue	hard skills
du	hard skills
magasin	hard skills
:	
mise	hard skills
en	hard skills
place	hard skills
des	hard skills
étiquettes	hard skills
,	O
des	hard skills
têtes	hard skills
de	hard skills
gondoles	hard skills
,	
la	hard skills
présentation	hard skills
des	hard skills
articles	hard skills
sur	hard skills
les	hard skills
gondoles	hard skills
-	O
La	hard skills
mise	hard skills
en	hard skills
rayon	hard skills
des	hard skills
produits	hard skills
réceptionnés	hard skills
-LRB-	O
petite	hard skills
manutention	hard skills
-RRB-	O
-	O
La	hard skills
facturation	hard skills
-	O
Les	hard skills
relances	hard skills
téléphoniques	hard skills
pour	hard skills
le	hard skills
recouvrement	hard skills
des	hard skills
créances	hard skills
clients	hard skills
-	O
La	hard skills
vente	hard skills
en	hard skills
magasin	hard skills
-LRB-	O
hors	hard skills
univers	hard skills
technique	hard skills
-RRB-	O
-	
La	hard skills
réception	hard skills
des	hard skills
appels	hard skills
téléphoniques	hard skills
du	hard skills
standard	hard skills
-	O
La	hard skills
participation	hard skills
aux	hard skills
inventaires	hard skills
PROFIL	O
:	O
Vous	experience
avez	experience
une	experience
première	experience
expérience	experience
sur	experience
un	experience
poste	experience
similaire	experience
.	O
Vous	soft skills
avez	soft skills
un	soft skills
bon	soft skills
contact	soft skills
client	soft skills
,	O
êtes	soft skills
souriant	soft skills
-LRB-	
e	soft skills
-RRB-	O
,	O
enthousiaste	soft skills
,	O
méthodique	soft skills
et	soft skills
rigoureux	soft skills
-LRB-	O
se	soft skills
-RRB-	O
.	O
Enfin	O
,	O
vous	soft skills
êtes	soft skills
à	soft skills
l'aise	soft skills
avec	soft skills
les	soft skills
chiffres	soft skills
et	soft skills
l'informatique	soft skills
.	O
Horaires	O
du	O
poste	O
:	O
Du	O
lundi	O
au	O
vendredi	O
09h-12h	O
/	O
13h30-17h30	O
POUR	O
POSTULER	O
:	O
http://jobaffinity.fr/apply/85073/422692	O
Type	O
d'emploi	O
:	O
CDI	contrat_type
